# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1: The momentum transfer sqrt(t) [GeV]
# Columns 2: The value of the Dirac form factor
# Columns 3: The value of the Pauli form factor
#     sqrt(t)[GeV]    F1p                            F2p
      1.35000000      (7.11174956+3.41512510j)      (1.25857534+-8.55900232j)
      1.35500000      (6.98378279+3.60539000j)      (1.31917588+-8.20116276j)
      1.36000000      (6.84487063+3.79313760j)      (1.36565220+-7.89292532j)
      1.36500000      (6.69468988+3.97713352j)      (1.39673009+-7.61648652j)
      1.37000000      (6.53309350+4.15603670j)      (1.41127718+-7.36306241j)
      1.37500000      (6.36013254+4.32842704j)      (1.40835803+-7.12818580j)
      1.38000000      (6.17607439+4.49283786j)      (1.38728247+-6.90977324j)
      1.38500000      (5.98141586+4.64779235j)      (1.34764748+-6.70718121j)
      1.39000000      (5.77688970+4.79184346j)      (1.28937078+-6.52067866j)
      1.39500000      (5.56346376+4.92361565j)      (1.21271390+-6.35111599j)
      1.40000000      (5.34233179+5.04184698j)      (1.11829255+-6.19969541j)
      1.40500000      (5.11489595+5.14542959j)      (1.00707277+-6.06779864j)
      1.41000000      (4.88274125+5.23344648j)      (0.88035200+-5.95685110j)
      1.41500000      (4.64760273+5.30520301j)      (0.73972548+-5.86821274j)
      1.42000000      (4.41132705+5.36025112j)      (0.58703906+-5.80309139j)
      1.42500000      (4.17583001+5.39840551j)      (0.42433076+-5.76247705j)
      1.43000000      (3.94305220+5.41975088j)      (0.25376431+-5.74709666j)
      1.43500000      (3.71491502+5.42464019j)      (0.07755805+-5.75738912j)
      1.44000000      (3.49327887+5.41368464j)      (-0.10208656+-5.79349973j)
      1.44500000      (3.27990561+5.38773625j)      (-0.28305311+-5.85529273j)
      1.45000000      (3.07642642+5.34786445j)      (-0.46337157+-5.94237984j)
      1.45500000      (2.88431618+5.29532849j)      (-0.64126980+-6.05416204j)
      1.46000000      (2.70487470+5.23154740j)      (-0.81521309+-6.18988162j)
      1.46500000      (2.53921485+5.15806916j)      (-0.98393057+-6.34868104j)
      1.47000000      (2.38825703+5.07654080j)      (-1.14642788+-6.52966538j)
      1.47500000      (2.25272935+4.98868072j)      (-1.30198638+-6.73196532j)
      1.48000000      (2.13317231+4.89625418j)      (-1.45014998+-6.95479800j)
      1.48500000      (2.02994697+4.80105287j)      (-1.59070060+-7.19752363j)
      1.49000000      (1.94324533+4.70487879j)      (-1.72362409+-7.45969608j)
      1.49500000      (1.87310174+4.60953273j)      (-1.84906814+-7.74110663j)
      1.50000000      (1.81940417+4.51680708j)      (-1.96729387+-8.04181990j)
      1.50500000      (1.78190436+4.42848288j)      (-2.07862240+-8.36220198j)
      1.51000000      (1.76022590+4.34633044j)      (-2.18337771+-8.70294071j)
      1.51500000      (1.75386938+4.27211311j)      (-2.28182667+-9.06505831j)
      1.52000000      (1.76221393+4.20759350j)      (-2.37411661+-9.44991666j)
      1.52500000      (1.78451449+4.15454134j)      (-2.46021087+-9.85921544j)
      1.53000000      (1.81989424+4.11474225j)      (-2.53982209+-10.29498318j)
      1.53500000      (1.86733163+4.09000643j)      (-2.61234289+-10.75956105j)
      1.54000000      (1.92564151+4.08217624j)      (-2.67677345+-11.25557870j)
      1.54500000      (1.99344990+4.09313146j)      (-2.73164526+-11.78592119j)
      1.55000000      (2.06916199+4.12479080j)      (-2.77494030+-12.35368525j)
      1.55500000      (2.15092294+4.17910794j)      (-2.80400499+-12.96212256j)
      1.56000000      (2.23657141+4.25806004j)      (-2.81545866+-13.61456686j)
      1.56500000      (2.32358571+4.36362611j)      (-2.80509657+-14.31434061j)
