# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1    : The momentum transfer sqrt(t) [GeV]
# Columns 2 & 3: Uncertainty band (minimum and maximum) of the Dirac form factor
# Columns 4 & 5: Uncertainty band (minimum and maximum) of the Pauli form factor
#     sqrt(t)[GeV]    F1Pmin                         F1Pmax                        F2Pmin                        F2Pmax 
      0.62000000      (4.33162334+0.39843759j)      (4.46391638+0.56610021j)      (6.37814933+4.28113132j)      (6.56952982+4.46575482j)
      0.63000000      (4.65889621+0.58069875j)      (4.81619303+0.58139861j)      (6.62297437+4.76511673j)      (6.82656541+4.97550613j)
      0.64000000      (5.04366893+0.67954737j)      (5.22611865+0.56880389j)      (6.86844068+5.32259475j)      (7.08425341+5.56299341j)
      0.65000000      (5.47218131+0.87828886j)      (5.68552552+0.68100668j)      (7.10717099+5.96688570j)      (7.33454460+6.24236911j)
      0.66000000      (5.98094339+1.02936642j)      (6.21821932+0.81894216j)      (7.32792382+6.71342737j)      (7.56539136+7.02996981j)
      0.67000000      (6.57648407+1.21354738j)      (6.84161726+0.98966088j)      (7.51390688+7.57957980j)      (7.75879975+7.94413475j)
      0.68000000      (7.28148881+1.43969032j)      (7.57927932+1.20245380j)      (7.64049489+8.58383316j)      (7.88838841+9.00433304j)
      0.69000000      (8.12788582+1.71946719j)      (8.46420384+1.46970657j)      (7.67232123+9.74389105j)      (7.91628451+10.22907437j)
      0.70000000      (9.16270905+2.06860434j)      (9.54472276+1.80827465j)      (7.55998433+11.07279405j)      (7.78962455+11.63170652j)
      0.71000000      (10.45927383+2.50927336j)      (10.89573188+2.24205618j)      (7.23726784+12.57193341j)      (7.43763866+13.21287376j)
      0.72000000      (12.13987222+3.07562185j)      (12.64155043+2.80777298j)      (6.62109708+14.21980663j)      (6.77171361+14.94843547j)
      0.73000000      (14.41867451+3.84401811j)      (15.01068213+3.55301729j)      (5.61861044+15.95652072j)      (5.69309348+16.77292593j)
      0.74000000      (17.73721359+4.91763932j)      (18.44135957+4.65199419j)      (4.14813080+17.66789161j)      (4.11443811+18.56318559j)
      0.75000000      (23.06091026+6.67882429j)      (23.92768580+6.48247299j)      (2.19701020+19.17506909j)      (1.99309145+20.13856723j)
      0.76000000      (32.91890658+10.48495932j)      (34.07574883+10.44904517j)      (-0.18535269+20.28584132j)      (-0.52608655+21.28553815j)
      0.77000000      (55.65320244+24.01551927j)      (57.52861289+24.69101494j)      (-2.77431429+20.91204992j)      (-2.95375335+21.99790684j)
      0.78000000      (84.12835861+141.67236881j)      (81.30751803+149.62258973j)      (-5.17471594+22.86774995j)      (-5.56113415+24.44798890j)
      0.79000000      (-88.73755419+53.05932616j)      (-91.43829753+55.89663337j)      (-11.43888187+19.91306820j)      (-12.44615786+21.10894046j)
      0.80000000      (-50.55376114+15.21863615j)      (-52.24619374+15.49501224j)      (-12.91258031+17.42867346j)      (-13.96412091+18.38535883j)
      0.81000000      (-35.76952585+8.46254549j)      (-37.05123588+8.41204454j)      (-14.27051542+15.27928671j)      (-15.41468828+16.10469066j)
      0.82000000      (-28.70450807+6.04447981j)      (-29.81288579+5.88202697j)      (-15.21792459+13.15211626j)      (-16.45003929+13.84890579j)
      0.83000000      (-24.74336163+4.79492157j)      (-25.75522164+4.57437208j)      (-15.75889463+11.14625987j)      (-17.06143254+11.71710586j)
      0.84000000      (-22.31359268+3.99426466j)      (-23.26340387+3.73929860j)      (-15.98377675+9.33731977j)      (-17.34092454+9.79039396j)
      0.85000000      (-20.75896374+3.41317949j)      (-21.66695728+3.13740352j)      (-15.99356550+7.75430244j)      (-17.39523972+8.10101070j)
      0.86000000      (-19.76774108+2.95996753j)      (-20.64777084+2.68503110j)      (-15.87483731+6.39387239j)      (-17.31723740+6.64644591j)
      0.87000000      (-19.18089122+2.57855646j)      (-20.04503729+2.30752709j)      (-15.69437984+5.23566354j)      (-17.17947047+5.40563201j)
      0.88000000      (-18.91217304+2.26884466j)      (-19.77125359+1.99241395j)      (-15.50155099+4.25272303j)      (-17.03646768+4.35015823j)
      0.89000000      (-18.92332403+2.00112397j)      (-19.78507205+1.72191773j)      (-15.33296185+3.41737458j)      (-16.92975021+3.45061524j)
      0.90000000      (-19.20276297+1.76310052j)      (-20.07442542+1.48285025j)      (-15.21732201+2.70397862j)      (-16.89319242+2.67959650j)
      0.91000000      (-19.76246209+1.54442389j)      (-20.65113305+1.26420916j)      (-15.17989607+2.08986928j)      (-16.95813619+2.01271382j)
      0.92000000      (-20.63851852+1.33510710j)      (-21.55148314+1.05551712j)      (-15.24679710+1.55529146j)      (-17.15856817+1.42850222j)
      0.93000000      (-21.89731967+1.12390812j)      (-22.84247768+0.84513811j)      (-15.44982043+1.08276048j)      (-17.53727573+0.90764925j)
      0.94000000      (-23.64953377+0.89595722j)      (-24.63600104+0.61784200j)      (-15.83311285+0.65593868j)      (-18.15471024+0.43160344j)
      0.95000000      (-26.07820197+0.62834835j)      (-27.11727501+0.35031499j)      (-16.46421724+0.25774949j)      (-19.10401956+-0.01985472j)
      0.96000000      (-29.49643185+0.28054814j)      (-30.60331553+0.00142322j)      (-17.45517177+-0.13328818j)      (-20.54006947+-0.47348602j)
      0.97000000      (-34.47551332+-0.22959423j)      (-35.67279345+-0.51212278j)      (-19.00820506+-0.55167925j)      (-22.74255636+-0.97426297j)
      0.98000000      (-42.16610845+-1.09646942j)      (-43.49176053+-1.38742499j)      (-21.52940447+-1.06974156j)      (-26.27327514+-1.61923712j)
      0.99000000      (-55.26030781+-2.88706072j)      (-56.78998472+-3.19978080j)      (-25.96849089+-1.88850571j)      (-32.44675785+-2.68234200j)
      1.00000000      (-81.79685303+-7.91322383j)      (-83.72710055+-8.29833170j)      (-35.16243186+-3.81736051j)      (-45.19402994+-5.27567290j)
